Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée,Nature,Malveillant
2022,248,15,15187,Saint-Flour,2022-03-27 15:43:00,6000,0.0,,6000.0,,,6000.0,0.0,0.0,0.0,Estimées,,,,,,,Involontaire (particulier),0
2022,17709,34,34064,Le Caylar,2022-08-02 11:17:00,12486,,12486.0,,,,,,,,,1.0,,,,,,Involontaire (particulier),0
2022,15842,2B,2B123,Ghisonaccia,2022-06-21 11:06:00,235900,,35900.0,,,,,,,200000.0,,1.0,,,,,,Involontaire (travaux),0
2022,7301,61,61085,Le Champ-de-la-Pierre,2022-07-11 18:20:47,5000,0.0,,5000.0,,,5000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2024,19035,48,48194,Vialas,2024-02-03 16:20:00,150000,0.0,150000.0,0.0,0.0,0.0,,,,,Estimées,1.0,,,,,Données partielles ou non valides,Involontaire (travaux),0
2023,11271,74,74031,Beaumont,2023-08-21 07:20:00,100,100.0,,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Naturelle,0
2024,21261,13,13005,Aubagne,2024-07-18 16:32:00,200,200.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Malveillance,1
2022,11529,33,33498,Salles,2022-05-31 06:35:00,25000,25000.0,,0.0,,,0.0,,,0.0,Estimées,,Non,,,,,Naturelle,0
2022,17383,2B,2B007,Albertacce,2022-07-21 18:13:00,40000,,,,,,,,,,,,,,,,,Malveillance,1
2023,14528,66,66008,Argelès-sur-Mer,2023-08-07 07:15:00,337,337.0,0.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Malveillance,1
